model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
Acinetobacter_baumannii_AB_2008_15_34_7.mat,1572,875,470,295,70,88,7
Bacteroides_gallinarum_DSM_18171_JCM_13658.mat,1909,674,378,260,25,28,6
Enterococcus_faecium_HF50104.mat,1067,567,299,212,23,47,6
Streptococcus_pneumoniae_GA05245.mat,1103,588,259,269,17,58,5
Staphylococcus_aureus_M1481.mat,1407,730,348,278,49,84,6
Coprococcus_comes_ERR1022476.mat,1122,637,362,237,28,37,5
Neglecta_timonensis_DSM_102082.mat,959,671,411,223,16,36,5
Blautia_wexlerae_ERR1022377.mat,1080,688,388,250,27,51,5
Roseburia_nov_ERR2221407.mat,1073,703,407,265,22,30,5
Escherichia_coli_O08.mat,3613,1232,727,290,97,201,8
Campylobacter_lari_RM2100.mat,1072,680,326,294,26,62,7
Escherichia_coli_95_0941.mat,3617,1244,733,293,101,204,8
Acinetobacter_lwoffii_TG19636.mat,1766,1115,692,304,88,128,8
Clostridium_bartlettii_DSM_16795.mat,1092,646,503,102,32,46,5
Helicobacter_pylori_SNT49.mat,1279,831,449,323,35,75,7
Staphylococcus_aureus_subsp_aureus_H19.mat,1408,755,356,283,61,90,6
Lactobacillus_iners_LEAF_2053A_b.mat,956,621,389,197,12,36,8
Corynebacterium_durum_F0235.mat,1160,699,396,222,37,79,7
Bdellovibrio_bacteriovorus_HD100.mat,1147,704,384,287,22,31,6
Escherichia_coli_DEC14A.mat,3611,1261,731,303,105,214,8
Enterococcus_faecalis_ERV37.mat,1546,948,564,287,41,106,8
Bacillus_cereus_VDM034.mat,1999,1200,733,309,82,153,8
Paenibacillus_sp_JDR_2.mat,1869,804,497,240,49,54,6
Bradyrhizobium_japonicum_WSM2793.mat,1567,977,529,338,113,98,7
Escherichia_coli_PA22.mat,3144,864,443,285,70,106,7
Lactobacillus_iners_AB_1.mat,905,562,382,152,14,27,8
Raoultella_planticola_ATCC_33531.mat,2093,959,544,287,127,101,8
Enterococcus_faecium_E2883.mat,1078,592,316,217,23,50,6
Helicobacter_pylori_CPY6081.mat,1298,848,459,328,37,78,7
Escherichia_coli_96_0427.mat,3582,1256,752,299,100,199,8
Klebsiella_pneumoniae_VAKPC278.mat,2562,1305,813,290,110,179,8
Escherichia_coli_MS_45_1.mat,3559,1216,717,290,103,192,8
Curtobacterium_flaccumfaciens_MEB126.mat,1119,683,368,258,38,51,7
Clostridium_glycolicum_ATCC_14880.mat,1300,742,448,215,37,78,8
Paeniclostridium_sordellii_R15892.mat,1085,610,383,193,24,26,5
Treponema_denticola_ASLM.mat,1100,616,285,290,27,40,5
Escherichia_coli_chi7122.mat,3613,1225,718,293,103,202,8
Streptococcus_pneumoniae_GA08780.mat,1114,589,266,265,17,56,5
Escherichia_coli_O157_str_NCCP15739.mat,3148,860,439,285,70,106,7
Achromobacter_xylosoxidans_ERR2221247.mat,1599,944,555,304,118,61,7
Escherichia_coli_KTE24.mat,3614,1281,742,308,101,218,8
Enterococcus_hirae_ATCC_9790.mat,1148,642,359,226,21,57,7
Peptoniphilus_lacrimalis_DSM_7455.mat,990,697,410,242,29,42,8
Streptococcus_mutans_TCI_228.mat,1387,853,492,300,28,73,7
Helicobacter_pylori_OK113.mat,1276,823,454,312,31,76,7
Eubacterium_siraeum_V10Sc8a.mat,1707,643,323,281,21,40,6
Salmonella_enterica_subsp_enterica_serovar_Agona_str_36_H_00.mat,2345,1240,767,289,94,172,7
Escherichia_coli_MP021017_3.mat,3620,1280,748,308,99,212,8
Lachnospiraceae_nov_ERR1022386.mat,980,634,390,208,20,33,4
Bacillus_cereus_BAG4X2_1.mat,2007,1231,742,311,80,169,8
Campylobacter_jejuni_subsp_jejuni_1893.mat,1367,913,481,350,49,86,7
Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH11.mat,2590,1302,813,279,111,188,8
Bacteroides_fragilis_ERR2230126.mat,1303,671,332,282,28,53,6
Peptoniphilus_nov_ERR2221395.mat,765,501,292,182,26,23,6
Mycobacterium_abscessus_4S_0116_R.mat,1311,810,465,257,108,77,7
Eubacterium_rectale_ERR1022318.mat,1127,631,334,251,25,45,5
Escherichia_coli_Envira_10_1.mat,3627,1247,731,297,109,211,8
Brachyspira_aalborgi_PC5538III_lc.mat,1164,713,374,306,22,28,4
Bacteroides_fragilis_638R.mat,2267,725,341,292,34,84,6
Blautia_torques_ERR1204037.mat,1174,644,333,269,25,51,5
Escherichia_coli_KTE209.mat,3560,1216,717,290,103,192,8
Escherichia_coli_NCCP15658.mat,3580,1247,752,299,102,188,8
Blautia_gnavus_ERR1203926.mat,1177,669,348,275,33,49,5
Enterococcus_faecalis_ERR2221341.mat,1174,639,341,255,26,36,6
Clostridium_perfringens_C_str_JGS1495.mat,2434,951,591,283,55,86,8
Salmonella_enterica_subsp_enterica_serovar_Agona_str_67_H_09.mat,2346,1239,765,290,94,172,7
Escherichia_coli_DEC7C.mat,3578,1223,718,295,97,198,8
Acinetobacter_baumannii_AYE.mat,1560,857,452,288,75,94,7
Enterococcus_faecium_E1626.mat,1086,586,315,212,23,50,6
Coprococcus_eutactus_ATCC_27759.mat,1051,713,446,218,29,46,6
Cutibacterium_acnes_HL059PA2.mat,2371,973,556,275,59,146,7
Mobiluncus_mulieris_28_1.mat,836,589,265,281,29,33,5
Stomatobaculum_longum_ACC2.mat,865,538,299,198,21,40,5
Alistipes_putredinis_DSM_17216.mat,953,573,250,277,26,42,6
Klebsiella_sp_1_1_55.mat,2116,901,546,215,80,124,7
Facklamia_hominis_ACS_120_V_Sch10.mat,896,558,328,219,8,9,6
Brachyspira_aalborgi_PC5587_u.mat,1089,694,349,315,20,27,4
Bacteroides_acidifaciens_ERR2221211.mat,1002,620,318,258,23,38,6
Subdoligranulum_sp_4_3_54A2FAA.mat,989,599,372,195,25,30,5
Helicobacter_pylori_Hp_M2.mat,1285,825,452,316,33,75,7
Prevotella_nigrescens_F0103.mat,1211,804,460,294,29,62,7
Enterococcus_faecium_2006_70_121.mat,1081,582,313,208,25,54,6
Haemophilus_pittmaniae_NCTC13334.mat,1237,707,387,267,38,46,6
Escherichia_coli_P0304816_7.mat,3201,870,433,283,77,122,7
Acinetobacter_baumannii_IS_143.mat,1553,863,457,295,72,89,7
Clostridium_leptum_DSM_753.mat,1461,655,397,213,22,46,5
Clostridium_cellobioparum_DSM_1351.mat,1312,791,469,279,24,40,7
Salmonella_enterica_subsp_enterica_serovar_Agona_str_SH10GFN094.mat,2348,1236,763,289,94,172,7
Sarcina_nov_ERR171266.mat,1214,701,459,200,33,36,6
Bacillus_thuringiensis_serovar_tochigiensis_BGSC_4Y1.mat,1497,833,480,259,60,77,6
